Name,Short description,Description,Weight (kg),Regular price,Categories,Attribute 1 name,Attribute 1 value(s)
83501843 - Filter - air for Jeep Cherokee 1 XJ  2.1TD diesel 1985->1990,"notes: 1/1985-12/1990 · Round - dimension (cm) : 12,5/32/8,5","This Filter - air also fits these models :

Jeep CJ7 2.1D (Moteur Renault) diesel 1982->1986[parts] 1/1982-12/1986
Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1985->1990[parts] 1/1985-12/1990
Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1991->1995[parts] 1/1991-12/1995
Jeep Cherokee 1 XJ 1984->1996 2.5TD (Moteur VM) diesel 1995->1996[parts] 5/1995-12/1996


",0.3,8.40,"Jeep, Jeep > Cherokee 1 XJ, Jeep > Cherokee 1 XJ > 2.1TD diesel 1985-1990, Filters & snorkels,Filters & snorkels > Filter - air",Classify,Filters & snorkels > Filter - air
90027967 - 7700703481  7701348930 - Filter - air for Jeep Cherokee 1 XJ  2.1TD diesel 1985->1990,"notes: 1/1985-12/1990 · Flat - dimension (cm) : 38/11,5/5,5","This Filter - air also fits these models :

Jeep CJ7 2.1D (Moteur Renault) diesel 1982->1986[parts] 1/1982-12/1986


This Filter - air also fits some models from the following makes of vehicle (click on manufacturer for more details):

Aro",0.3,11.50,"Jeep, Jeep > Cherokee 1 XJ, Jeep > Cherokee 1 XJ > 2.1TD diesel 1985-1990, Filters & snorkels,Filters & snorkels > Filter - air",Classify,Filters & snorkels > Filter - air
R556436 - Filter - air - Green-Filter for Jeep Cherokee 1 XJ  2.1TD diesel 1985->1990,"notes: 1/1985-12/1990 · Green  ""twin layer"" air filter, washable - high performance, maximize cylinder air intake - do not use in a very dusty environment - dimensions (diameter/diameter/width) mm: 90/126/307","This Filter - air - Green-Filter also fits these models :

Jeep CJ7 2.1D (Moteur Renault) diesel 1982->1986[parts] 1/1982-12/1986
Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1985->1990[parts] 1/1985-12/1990
Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1991->1995[parts] 1/1991-12/1995
Jeep Cherokee 1 XJ 1984->1996 2.5TD (Moteur VM) diesel 1995->1996[parts] 5/1995-12/1996


",0.8,67.00,"Jeep, Jeep > Cherokee 1 XJ, Jeep > Cherokee 1 XJ > 2.1TD diesel 1985-1990, Filters & snorkels,Filters & snorkels > Filter - air - Green-Filter",Classify,Filters & snorkels > Filter - air - Green-Filter
15208-6F901 - 16510-86CA0 - Filter - engine oil for Jeep Cherokee 1 XJ  2.1TD diesel 1985->1990,notes: 1/1985-12/1990 · Seal diameter ( mm ): 71 - height (mm): 88 - thread M20x1.50,"This Filter - engine oil also fits these models :

Jeep CJ7 2.0 (Moteur Renault) petrol 1982->1986[parts] 1/1982-12/1986
Jeep CJ7 2.1D (Moteur Renault) diesel 1982->1986[parts] 1/1982-12/1986
Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1985->1990[parts] 1/1985-12/1990
Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1991->1995[parts] 1/1991-12/1995


This Filter - engine oil also fits some models from the following makes of vehicle (click on manufacturer for more details):

Aro
Auverland
Lada
Peugeot
Santana
Ssangyong
Suzuki
UMM",0.3,6.00,"Jeep, Jeep > Cherokee 1 XJ, Jeep > Cherokee 1 XJ > 2.1TD diesel 1985-1990, Filters & snorkels,Filters & snorkels > Filter - engine oil",Classify,Filters & snorkels > Filter - engine oil
89835-01902 - Filter - fuel for Jeep Cherokee 1 XJ  2.1TD diesel 1985->1990,notes: 1/1985-12/1990,"This Filter - fuel - diesel also fits these models :

Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1985->1990[parts] 1/1985-12/1990
Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1991->1995[parts] 1/1991-12/1995


",0.3,32.00,"Jeep, Jeep > Cherokee 1 XJ, Jeep > Cherokee 1 XJ > 2.1TD diesel 1985-1990, Filters & snorkels,Filters & snorkels > Filter - fuel - diesel",Classify,Filters & snorkels > Filter - fuel - diesel
S67 - Snorkel - Airflow for Jeep Cherokee 1 XJ  2.1TD diesel 1985->1990,"notes: 1/1985-12/1990 · Airflow snorkel kit - supplied with head, connecting hose, small parts kit and installation jig - connection outer diameter head: 3"" - price per complete kit · right side","This Snorkel - Airflow also fits these models :

Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1985->1990[parts] 1/1985-12/1990
Jeep Cherokee 1 XJ 1984->1996 2.1TD diesel 1991->1995[parts] 1/1991-12/1995
Jeep Cherokee 1 XJ 1984->1996 2.5TD (Moteur VM) diesel 1995->1996[parts] 5/1995-12/1996
Jeep Cherokee 1 XJ 1997->2001 2.5TD (Moteur VM) diesel 1997->2001[parts] 1/1997-12/2001


",3.0,,"Jeep, Jeep > Cherokee 1 XJ, Jeep > Cherokee 1 XJ > 2.1TD diesel 1985-1990, Filters & snorkels,Filters & snorkels > Snorkel - Airflow",Classify,Filters & snorkels > Snorkel - Airflow
"RAM - 3"" diameter original Airflow snorkel elbow head","notes: Diameter 3""",,0.3,116.00,"Filters & snorkels, Filters & snorkels > 3"" diameter original Airflow snorkel elbow head",Classify,"Filters & snorkels > 3"" diameter original Airflow snorkel elbow head"
"RAMFLUO35 - 3.5"" diameter original Airflow snorkel elbow head","notes: Diameter 3.5"" fluorescent",,0.7,149.00,"Filters & snorkels, Filters & snorkels > 3.5"" diameter original Airflow snorkel elbow head",Classify,"Filters & snorkels > 3.5"" diameter original Airflow snorkel elbow head"
"RAM35 - 3.5"" diameter original Airflow snorkel elbow head","notes: Diameter 3.5""",,0.5,64.80,"Filters & snorkels, Filters & snorkels > 3.5"" diameter original Airflow snorkel elbow head",Classify,"Filters & snorkels > 3.5"" diameter original Airflow snorkel elbow head"
"SK062 - 3.5"" diameter small Airflow snorkel elbow head","notes: Diameter 3.5""",,0.3,64.80,"Filters & snorkels, Filters & snorkels > 3.5"" diameter small Airflow snorkel elbow head",Classify,"Filters & snorkels > 3.5"" diameter small Airflow snorkel elbow head"
